test,name,amount,size
lin,IntChamp32Java,8388608,404818000
lin,IntImplicitKeyHamtKotlin,1,560
lin,IntImplicitKeyHamtKotlin,2,1016
lin,IntImplicitKeyHamtKotlin,4,1928
lin,IntImplicitKeyHamtKotlin,8,3752
lin,IntImplicitKeyHamtKotlin,16,7400
lin,IntImplicitKeyHamtKotlin,32,14696
lin,IntImplicitKeyHamtKotlin,64,27240
lin,IntImplicitKeyHamtKotlin,128,52328
lin,IntImplicitKeyHamtKotlin,256,102504
lin,IntImplicitKeyHamtKotlin,512,202856
lin,IntImplicitKeyHamtKotlin,1024,403560
lin,IntImplicitKeyHamtKotlin,2048,739432
lin,IntImplicitKeyHamtKotlin,4096,1411176
lin,IntImplicitKeyHamtKotlin,8192,2754664
lin,IntImplicitKeyHamtKotlin,16384,5441640
lin,IntImplicitKeyHamtKotlin,32768,10815592
lin,IntImplicitKeyHamtKotlin,65536,19466344
lin,IntImplicitKeyHamtKotlin,131072,36767848
lin,IntImplicitKeyHamtKotlin,262144,71370856
lin,IntImplicitKeyHamtKotlin,524288,140576872
lin,IntImplicitKeyHamtKotlin,1048576,278988904
lin,IntImplicitKeyHamtKotlin,2097152,488704104
lin,IntImplicitKeyHamtKotlin,4194304,908134504
lin,IntImplicitKeyHamtKotlin,8388608,1746995304
lin,ClojureHashMap,1,104
lin,ClojureHashMap,2,144
lin,ClojureHashMap,4,224
lin,ClojureHashMap,8,384
lin,ClojureHashMap,16,976
lin,ClojureHashMap,32,3096
lin,ClojureHashMap,64,5000
lin,ClojureHashMap,128,8368
lin,ClojureHashMap,256,17112
lin,ClojureHashMap,512,38912
lin,ClojureHashMap,1024,98672
lin,ClojureHashMap,2048,161176
lin,ClojureHashMap,4096,273016
lin,ClojureHashMap,8192,524728
lin,ClojureHashMap,16384,1207264
lin,ClojureHashMap,32768,3169664
lin,ClojureHashMap,65536,5117400
lin,ClojureHashMap,131072,8693344
lin,ClojureHashMap,262144,16691704
lin,ClojureHashMap,524288,38694024
lin,ClojureHashMap,1048576,101116304
lin,ClojureHashMap,2097152,163605880
lin,ClojureHashMap,4194304,277701240
lin,ClojureHashMap,8388608,533348280
lin,RadixTreeRedux,1,120
lin,RadixTreeRedux,2,128
lin,RadixTreeRedux,4,144
lin,RadixTreeRedux,8,176
