test,name,amount,size
lin,Trie1j,2097152,153159760
lin,Trie1j,4194304,237045840
lin,Trie1j,8388608,404818000
lin,ClojureHashMap,1,104
lin,ClojureHashMap,2,144
lin,ClojureHashMap,4,224
lin,ClojureHashMap,8,384
lin,ClojureHashMap,16,976
lin,ClojureHashMap,32,3096
lin,ClojureHashMap,64,5000
lin,ClojureHashMap,128,8368
lin,ClojureHashMap,256,17112
lin,ClojureHashMap,512,38912
lin,ClojureHashMap,1024,98672
lin,ClojureHashMap,2048,161176
lin,ClojureHashMap,4096,273016
lin,ClojureHashMap,8192,524728
lin,ClojureHashMap,16384,1207264
lin,ClojureHashMap,32768,3169664
lin,ClojureHashMap,65536,5117400
lin,ClojureHashMap,131072,8693344
lin,ClojureHashMap,262144,16691704
lin,ClojureHashMap,524288,38694024
lin,ClojureHashMap,1048576,101116304
lin,ClojureHashMap,2097152,163605880
lin,ClojureHashMap,4194304,277701240
lin,ClojureHashMap,8388608,533348280
lincumu,Trie1,1,152
lincumu,Trie1,2,296
lincumu,Trie1,4,632
lincumu,Trie1,8,1496
lincumu,Trie1,16,3992
lincumu,Trie1,32,12056
lincumu,Trie1,64,30616
lincumu,Trie1,128,61336
lincumu,Trie1,256,128920
lincumu,Trie1,512,288664
lincumu,Trie1,1024,706456
lincumu,Trie1,2048,1619864
lincumu,Trie1,4096,3241880
lincumu,Trie1,8192,6682520
lincumu,Trie1,16384,14350232
lincumu,Trie1,32768,32831384
lincumu,Trie1,65536,72284056
lincumu,Trie1,131072,144635800
lincumu,Trie1,262144,295630744
lincumu,Trie1,524288,622786456
lincumu,Trie1,1048576,1377761176
lincumu,Trie1,2097152,2967402392
lincumu,Trie1,4194304,5936969624
lincumu,ClojureTreeMap,1,168
lincumu,ClojureTreeMap,2,352
lincumu,ClojureTreeMap,4,816
lincumu,ClojureTreeMap,8,2024
lincumu,ClojureTreeMap,16,5056
lincumu,ClojureTreeMap,32,12408
lincumu,ClojureTreeMap,64,29744
lincumu,ClojureTreeMap,128,69736
lincumu,ClojureTreeMap,256,160416
lincumu,ClojureTreeMap,512,363224
lincumu,ClojureTreeMap,1024,811792
lincumu,ClojureTreeMap,2048,1794888
lincumu,ClojureTreeMap,4096,3933056
lincumu,ClojureTreeMap,8192,8553400
lincumu,ClojureTreeMap,16384,18482160
lincumu,ClojureTreeMap,32768,39715880
lincumu,ClojureTreeMap,65536,84935776
lincumu,ClojureTreeMap,131072,180880536
lincumu,ClojureTreeMap,262144,383780048
lincumu,ClojureTreeMap,524288,811599112
lincumu,ClojureTreeMap,1048576,1711277376
lincumu,ClojureTreeMap,2097152,3598714232
lincumu,PaguroTreeMap,1,224
lincumu,PaguroTreeMap,2,376
lincumu,PaguroTreeMap,4,760
lincumu,PaguroTreeMap,8,1768
lincumu,PaguroTreeMap,16,4312
lincumu,PaguroTreeMap,32,10504
lincumu,PaguroTreeMap,64,25144
lincumu,PaguroTreeMap,128,58984
lincumu,PaguroTreeMap,256,135832
lincumu,PaguroTreeMap,512,307912
lincumu,PaguroTreeMap,1024,688888
lincumu,PaguroTreeMap,2048,1524520
lincumu,PaguroTreeMap,4096,3343192
lincumu,PaguroTreeMap,8192,7275400
lincumu,PaguroTreeMap,16384,15729592
lincumu,PaguroTreeMap,32768,33817576
lincumu,PaguroTreeMap,65536,72352792
lincumu,PaguroTreeMap,131072,154141768
lincumu,PaguroTreeMap,262144,327156856
lincumu,PaguroTreeMap,524288,692061352
lincumu,PaguroTreeMap,1048576,1459619032
lincumu,PaguroTreeMap,2097152,3070231816
lincumu,ArrayMap,1,624
lincumu,ArrayMap,2,1200
lincumu,ArrayMap,4,2352
lincumu,ArrayMap,8,4656
lincumu,ArrayMap,16,9264
lincumu,ArrayMap,32,18480
lincumu,ArrayMap,64,36912
lincumu,ArrayMap,128,106544
lincumu,ArrayMap,256,376880
lincumu,ArrayMap,512,1441840
lincumu,ArrayMap,1024,5668912
lincumu,ArrayMap,2048,22511664
lincumu,ArrayMap,4096,89751600
lincumu,ArrayMap,8192,358449200
lincumu,ArrayMap,16384,1432715312
lincumu,ArrayMap,32768,5728731184
lincumu,ArrayMap,65536,22910697520
lincumu,Trie2j16,1,184
lincumu,Trie2j16,2,328
lincumu,Trie2j16,4,656
lincumu,Trie2j16,8,1456
lincumu,Trie2j16,16,3632
lincumu,Trie2j16,32,10440
lincumu,Trie2j16,64,21576
lincumu,Trie2j16,128,46152
lincumu,Trie2j16,256,104520
lincumu,Trie2j16,512,260552
lincumu,Trie2j16,1024,532936
lincumu,Trie2j16,2048,1114568
lincumu,Trie2j16,4096,2425288
lincumu,Trie2j16,8192,5675464
lincumu,Trie2j16,16384,11540936
lincumu,Trie2j16,32768,23861704
lincumu,Trie2j16,65536,50862536
lincumu,Trie2j16,131072,114923976
lincumu,Trie2j16,262144,232888776
lincumu,Trie2j16,524288,478255560
lincumu,Trie2j16,1048576,1006737864
lincumu,Trie2j16,2097152,2224658888
lincumu,Trie2j16,4194304,4497971656
lincumu,Trie1j64,1,152
lincumu,Trie1j64,2,296
lincumu,Trie1j64,4,632
lincumu,Trie1j64,8,1496
lincumu,Trie1j64,16,3992
lincumu,Trie1j64,32,12056
lincumu,Trie1j64,64,40856
lincumu,Trie1j64,128,80280
lincumu,Trie1j64,256,160664
lincumu,Trie1j64,512,327576
lincumu,Trie1j64,1024,685976
lincumu,Trie1j64,2048,1501080
lincumu,Trie1j64,4096,3753880
lincumu,Trie1j64,8192,7858072
lincumu,Trie1j64,16384,16164760
lincumu,Trie1j64,32768,33171352
lincumu,Trie1j64,65536,68757400
lincumu,Trie1j64,131072,146220952
lincumu,Trie1j64,262144,332343192
lincumu,Trie1j64,524288,685451160
lincumu,Trie1j64,1048576,1397958552
